id,typeid,gruppenavnkort,navn,fornavn,efternavn,biografi,periodeid,opdateringsdato,startdato,slutdato
17,5,,Christine Antorini,Christine,Antorini,"<member><url>/medlemmer/mf/c/christine-antorini</url><status>0</status><formattedDateLongMonth>5. september 2018</formattedDateLongMonth><profession>Fhv. minister</profession><firstname>Christine</firstname><lastname>Antorini</lastname><party>Socialdemokratiet</party><partyShortname>S</partyShortname><title>Christine Antorini (S)</title><pictureMiRes>https://websccm40.ft.dk:443/-/media/cv/foto/2015/s/christine-antorini/christine_antorini_500,-d-,jpg.ashx</pictureMiRes><pictureHiRes>https://websccm40.ft.dk:443/-/media/cv/foto/2015/s/christine-antorini/christine_antorini-fotograf_steen_brogaard.ashx</pictureHiRes><sex>Kvinde</sex><born>23-05-1965</born><died/><educationStatistic>LVU</educationStatistic><occupationStatistic>Privat</occupationStatistic><phoneFolketinget>+45 3337 4035</phoneFolketinget><personalInformation><memberData>Christine Edda Antorini, født 23. maj 1965 i Jyllinge, datter af mejerist Keld Jørgensen og lærer Myriam Antorini Jørgensen.</memberData><function><formattedTitle>Fhv. medlem af Folketinget</formattedTitle><formattedTitles>Fhv. medlem af Folketinget;Tidligere minister</formattedTitles><functionStartDate>5. september 2018</functionStartDate></function></personalInformation><career><ministers><minister>Undervisningsminister 9. august 2013 - 28. juni 2015.</minister><minister>Børne- og undervisningsminister 3. oktober 2011 - 9. august 2013.</minister></ministers><constituencies><constituency>Folketingsmedlem for Socialdemokratiet i Nordsjællands Storkreds 15. september 2011 - 5. september 2018.</constituency><constituency>Folketingsmedlem for Socialdemokratiet i Københavns Storkreds 13. november 2007 - 15. september 2011.</constituency><constituency>Folketingsmedlem for Socialdemokratiet i Søndre Storkreds 8. februar 2005 - 13. november 2007.</constituency><constituency>Folketingsmedlem for Socialistisk Folkeparti i Østre Storkreds 18. marts 1998 - 30. november 1999.</constituency></constituencies><nominations><nomination>Kandidat for Socialdemokratiet i Hillerødkredsen 2010-2018.</nomination><nomination>Kandidat for Socialdemokratiet i Indre Bykredsen 2007-2009.</nomination><nomination>Kandidat for Socialdemokratiet i Rådhuskredsen 2004-2006.</nomination><nomination>Kandidat for Socialistisk Folkeparti i Brønshøjkredsen 1996-1999.</nomination><nomination>Kandidat for Socialistisk Folkeparti i Vesterbrokredsen 1992-1995.</nomination></nominations><parliamentaryPositionsOfTrust><editorFormattedText><p>Formand for Uddannelses- og Forskningsudvalget 2015-2018. Medlem af Udvalget for Forretningsorden og Udvalget til&amp;nbsp;Valgs Pr&amp;oslash;velse 2015-2018. Gruppesekret&amp;aelig;r for Socialdemokratiets folketingsgruppe 2015-2018.</p></editorFormattedText></parliamentaryPositionsOfTrust></career><educations><education>Cand.comm. i offentlig forvaltning, Roskilde Universitetscenter, 1989-1994.</education><education>Stud.scient.pol., Aarhus Universitet, 1985-1987.</education></educations><occupations><occupation>Faglig sekretær, HK's reformsekretariat, 2004-2005.</occupation><occupation>Studievært, DR2, 2003-2004.</occupation><occupation>Sekretariatschef, Forbrugerinformationen, 1999-2003.</occupation><occupation>Kommunikationsmedarbejder, Oticon, 1995-1997.</occupation></occupations><positionsOfTrust><editorFormattedText>Medlem af landsledelsen for Socialistisk Folkepartis Ungdom 1983-1988, medlem af hovedbestyrelsen 1988-1998. Næstformand for Socialistisk Folkeparti 1991-1998. Medlem af EU-oplysningsnævnet 1997-1998. Medlem af Nyt Europas arbejdsudvalg 1999-2002. Formand for Tipsungdomsnævnet 2001-2003. Medlem af Akademiet for de Tekniske Videnskabers tænketank 2001-2004. Formand for Videnskabsministeriets tænketank for forskningsformidling 2003-2004. Medlem af Royal Greenlands Advisory Board 2005-2006. Medlem af German Marshall Foundation 2005-2011. Medlem af bestyrelsen for Frie Børnehavers Fond 2006-2011. Medlem af VL 13 fra 2006. Medlem af bestyrelsen for Roskilde Festival Højskole fra 2011, formand fra 2016. Medlem af skolekredsen for Grundtvig Højskole 2011. Medlem af bestyrelsen for Sagnlandet Lejre fra 2015. Medlem af bestyrelsen for Fonden Socialt Ansvar fra 2016. Medlem af bestyrelsen for Det Kongelige Vajsenhus fra 2016. Medlem af bestyrelsen for Dansk Skoleskak fra 2017.</editorFormattedText></positionsOfTrust><publications><editorFormattedText>Har skrevet »Fremtidens partier«, 2008. Medforfatter til »Borgerlige ord efter revolutionen«, 1999, »Det ny systemskifte«, 2001, »Kloge kvadratmeter - skjulte ressourcer til bedre læringsmiljøer«, 2017. Bidragsyder til bøgerne »Epostler«, 2003, »Fanatisme eller idealisme«, 2003, »Livsmodig«, 2017 og »Mødre og døtre«, 2018.</editorFormattedText></publications><honours><editorFormattedText>Har modtaget Nina Bang-prisen 1999, FDB’s forbrugerpris 2002 og Årets drømmedirektion i Berlingske Nyhedsmagasin 2003.</editorFormattedText></honours></member>",,2021-04-07T19:20:35.493,2015-10-06T00:00:00,
18,5,,Alex Ahrendtsen,Alex,Ahrendtsen,"<member><url>/medlemmer/mf/a/alex-ahrendtsen</url><status>1</status><profession>Forlægger</profession><firstname>Alex</firstname><lastname>Ahrendtsen</lastname><party>Dansk Folkeparti</party><partyShortname>DF</partyShortname><title>Alex Ahrendtsen (DF)</title><pictureMiRes>https://master-ft.ft.dk:443/-/media/cv/foto/2019/df/alex-ahrendtsen/alex_ahrendtsen_500.ashx</pictureMiRes><pictureHiRes>https://master-ft.ft.dk:443/-/media/cv/foto/2019/df/alex-ahrendtsen/alex_ahrendtsen-fotograf_steen_brogaard.ashx</pictureHiRes><sex>Mand</sex><born>14-02-1967</born><died/><educationStatistic>LVU</educationStatistic><occupationStatistic>Privat</occupationStatistic><addresses><address>Folketinget, Christiansborg, 1240 København K</address></addresses><phoneFolketinget>+45 3337 5105</phoneFolketinget><emails><email>alex.ahrendtsen@ft.dk</email></emails><personalInformation><memberData>Alex Ahrendtsen, født 14. februar 1967 i Kolding, søn af pensioneret entreprenørformand og tømrer Henning Ahrendtsen og pensioneret korrespondent Marianne Ahrendtsen.</memberData><function><formattedTitle>Medlem af Folketinget</formattedTitle><formattedTitles>Medlem af Folketinget</formattedTitles><functionStartDate>15. september 2011</functionStartDate></function></personalInformation><career><currentConstituency>Folketingsmedlem for Dansk Folkeparti i Fyns Storkreds fra 15. september 2011.</currentConstituency><nominations><nomination>Kandidat for Dansk Folkeparti i Odense Sydkredsen fra 2007.</nomination><nomination>Kandidat for Dansk Folkeparti i Svendborgkredsen 2001-2007.</nomination></nominations><parliamentaryPositionsOfTrust><parliamentaryPositionOfTrust>Bolig- og bygningsordfører fra 2020.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Ordfører for udviklingsbistand fra 2020.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Idrætsordfører 2019-2020.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Medieordfører 2019-2020.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Folkeskoleordfører fra 2011.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Kulturordfører 2011-2020.</parliamentaryPositionOfTrust></parliamentaryPositionsOfTrust></career><educations><education>Cand.mag. i dansk, litteratur, religion og oldgræsk, Odense Universitet, 1989-1996.</education></educations><occupations><occupation>Forlægger, Trykkefrihedsselskabets Bibliotek, Odense, 2007-2014.</occupation><occupation>Forlægger, Lysias, 2003-2020.</occupation><occupation>Forfatter på forskellige forlag, fra 1997.</occupation><occupation>Receptionist, underviser, redaktør, tekstforfatter, produktionsmedhjælper og selvstændig, 1996-2007.</occupation></occupations><positionsOfTrust><positionOfTrust>Medlem af Odense Byråd 2006-2017.</positionOfTrust></positionsOfTrust><publications><editorFormattedText>Har skrevet »Når danskere bøjer af – Islamiseringen af Odense«, Trykkefrihedsselskabets Bibliotek, 2009, »Danmark – Fortællinger ved kornmod«, Lysias, 2003, »Den danske ligevægt«, Frihedsbrevet, 2002, »Martin A. Hansen og Indre Mission«, Odense Universitetsforlag, 1997 og »Indsigt eller fordom – missionen i litteraturen fra Aakjær til Høeg«, Lohse, 1997.</editorFormattedText></publications><spokesmen><spokesman>Bygningsordfører</spokesman><spokesman>Boligordfører</spokesman><spokesman>EU-ordfører</spokesman><spokesman>Folkeskoleordfører</spokesman><spokesman>Udviklingsordfører</spokesman></spokesmen></member>",,2021-04-07T19:20:35.493,2015-10-21T00:00:00,2015-11-06T00:00:00
19,3,EUU,Europaudvalget,,,,32.0,2021-04-07T19:23:28.59,2013-10-01T00:00:00,2014-10-07T00:00:00
20,3,URU,Udenrigsudvalget,,,,32.0,2021-04-07T19:23:23.977,2013-10-01T00:00:00,2014-10-07T00:00:00
21,3,SAU,Skatteudvalget,,,,32.0,2021-04-07T19:23:23.977,2013-10-01T00:00:00,2014-10-07T00:00:00
22,3,REU,Retsudvalget,,,,32.0,2021-04-07T19:23:23.977,2013-10-01T00:00:00,2014-10-07T00:00:00
23,5,,Bjarne Corydon,Bjarne,Corydon,"<member><url>/medlemmer/mf/b/bjarne-corydon</url><status>0</status><formattedDateLongMonth>12. januar 2016</formattedDateLongMonth><profession>Fhv. minister</profession><firstname>Bjarne</firstname><lastname>Corydon</lastname><party>Socialdemokratiet</party><partyShortname>S</partyShortname><title>Bjarne Corydon (S)</title><pictureMiRes>https://websccm40.ft.dk:443/-/media/cv/foto/20111/s/bjarne_fog_corydon/bjarne_fog_corydon_pdf,-d-,jpg.ashx</pictureMiRes><pictureHiRes>https://websccm40.ft.dk:443/-/media/cv/foto/20111/s/bjarne_fog_corydon/bjarne_fog_corydon.ashx</pictureHiRes><sex>Mand</sex><born>01-03-1973</born><died/><educationStatistic>LVU</educationStatistic><occupationStatistic>Privat</occupationStatistic><addresses><address>Livornovej 25, 2300 København S</address></addresses><personalInformation><memberData><p>Bjarne Fog Corydon, f&amp;oslash;dt 1. marts 1973 i Kolding, s&amp;oslash;n af anl&amp;aelig;gsgartner Arne Corydon og sekret&amp;aelig;r Tove Corydon.&amp;nbsp;Gift med Nina Eg Hansen, afdelingschef i Social- og Indenrigsministeriet. Parret har fire b&amp;oslash;rn.</p></memberData><function><formattedTitle>Fhv. medlem af Folketinget</formattedTitle><formattedTitles>Fhv. medlem af Folketinget;Tidligere minister</formattedTitles><functionStartDate>11. januar 2016</functionStartDate></function></personalInformation><career><ministers><minister>Finansminister 3. oktober 2011 - 28. juni 2015.</minister></ministers><currentConstituency>Folketingsmedlem for Socialdemokratiet i Sydjyllands Storkreds.</currentConstituency><nominations><nomination>Kandidat for Socialdemokratiet i Esbjerg Bykredsen 2011-2016.</nomination></nominations></career><educations><education>Cand.scient.pol., Aarhus Universitet, 1992-2000.</education></educations><occupations><occupation>Stabschef for Helle Thorning-Schmidt og leder af Socialdemokratiets analyse- og informationsafdeling, Christiansborg, 2005-2011.</occupation><occupation>Politisk-økonomisk rådgiver for den socialdemokratiske ledelse, Christiansborg, 2000-2005.</occupation><occupation>Barselsvikar, leder af Socialdemokratiets sekretariat, Europa-Parlamentet, 1996-1996.</occupation></occupations></member>",,2021-04-07T19:20:35.493,2015-10-06T00:00:00,2016-01-11T00:00:00
24,5,,Karsten Lauritzen,Karsten,Lauritzen,"<member><url>/medlemmer/mf/k/karsten-lauritzen</url><status>1</status><profession>Fhv. minister</profession><firstname>Karsten</firstname><lastname>Lauritzen</lastname><party>Venstre</party><partyShortname>V</partyShortname><title>Karsten Lauritzen (V)</title><pictureMiRes>https://websccm40.ft.dk:443/-/media/cv/foto/2019/v/karsten-lauritzen/karsten_lauritzen_500.ashx</pictureMiRes><pictureHiRes>https://websccm40.ft.dk:443/-/media/cv/foto/2019/v/karsten-lauritzen/karsten_lauritzen-fotograf_steen_brogard.ashx</pictureHiRes><sex>Mand</sex><born>14-10-1983</born><died/><educationStatistic>MVU</educationStatistic><occupationStatistic>Privat</occupationStatistic><addresses><address>Folketinget, Christiansborg, 1240 København K</address></addresses><phoneFolketinget>+45 3337 4505</phoneFolketinget><mobilePhone>+45 6162 4632</mobilePhone><emails><email>karsten.lauritzen@ft.dk</email></emails><personalInformation><memberData>Karsten Lauritzen, født 14. oktober 1983 i Løgstør, søn af landmand Jens Lauritzen og selvstændig Birthe Lauritzen.</memberData><function><formattedTitle>Medlem af Folketinget</formattedTitle><formattedTitles>Medlem af Folketinget;Tidligere minister</formattedTitles><functionStartDate>13. november 2007</functionStartDate></function></personalInformation><career><ministers><minister>Skatteminister 28. juni 2015 - 27. juni 2019.</minister></ministers><currentConstituency>Folketingsmedlem for Venstre i Nordjyllands Storkreds fra 13. november 2007.</currentConstituency><nominations><nomination>Kandidat for Venstre i Hjørringkredsen fra 2006.</nomination></nominations><parliamentaryPositionsOfTrust><parliamentaryPositionOfTrust>Formand for Venstres folketingsgruppe fra 2020.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Forsvarsordfører 2019-2020.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Næstformand for Venstres folketingsgruppe 2019-2020.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Retsordfører 2011-2015.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Formand for Udvalget for Udlændinge- og Integrationspolitik 2007-2009.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Integrationsordfører og udviklingsordfører 2007-2011.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Næstformand for Udenrigsudvalget 2007-2010.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Udviklingsordfører 2007-2011.</parliamentaryPositionOfTrust></parliamentaryPositionsOfTrust></career><educations><education>BSc i politik og administration, Aalborg Universitet, 2014-2014.</education><education>Studentereksamen, Fjerritslev Gymnasium, 1999-2002.</education><education>9. klasse, Skals Efterskole, 1998-1999.</education><education>8. klasse, Åbybro Ungdomsskole, 1997-1998.</education><education>0.-7.klasse, Vilsted-Vindblæs Folkeskole, 1989-1997.</education></educations><occupations><occupation>Receptionist/piccolo, Løgstør Rør, 2002-2003.</occupation><occupation>Kassemedarbejder, Fakta Løgstør, 2000-2002.</occupation></occupations><positionsOfTrust><positionOfTrust>Næstformand i bestyrelsen for Institut for Flerpartisamarbejde 2010-2015.</positionOfTrust><positionOfTrust>Medlem af Venstres Ungdoms forretningsudvalg 2005-2007.</positionOfTrust><positionOfTrust>Landsformand for Venstres Ungdom 2005-2007.</positionOfTrust></positionsOfTrust><facebookProfiles><facebookUrl><url>https://www.facebook.com/stemlauritzen</url><desciption>www.facebook.com/stemlauritzen</desciption><linkType>external</linkType></facebookUrl></facebookProfiles><twitterProfiles><twitterUrl><url>https://twitter.com/stemlauritzen</url><desciption>@stemlauritzen</desciption><linkType>external</linkType></twitterUrl></twitterProfiles></member>",,2021-04-08T10:18:15.28,2021-03-02T00:00:00,2021-03-03T00:00:00
25,2,erhvervs- og vækstminister,erhvervs- og vækstministeren,,,,,2021-04-07T19:22:33.377,2015-06-28T00:00:00,2016-11-28T00:00:00
26,3,ERU,"Erhvervs-, Vækst- og Eksportudvalget",,,,32.0,2021-04-07T19:23:11.973,2013-10-01T00:00:00,2014-10-07T00:00:00
27,1,,Erhvervs- og Vækstministeriet,,,,,2016-11-28T15:25:11.62,2011-10-03T00:00:00,2016-11-28T00:00:00
